




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (341)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
salivary gland morphogenesis (GO:0007435)	29	5	.48	+	10.41	1.04E-04	5.46E-03
positive regulation of cell projection organization (GO:0031346)	358	17	5.93	+	2.87	1.08E-04	5.65E-03
regulation of developmental growth (GO:0048638)	324	16	5.37	+	2.98	1.09E-04	5.71E-03
positive regulation of developmental growth (GO:0048639)	167	11	2.77	+	3.98	1.11E-04	5.77E-03
regulation of lipase activity (GO:0060191)	67	7	1.11	+	6.31	1.19E-04	6.17E-03
regulation of cell shape (GO:0008360)	141	10	2.33	+	4.28	1.23E-04	6.36E-03
female pregnancy (GO:0007565)	169	11	2.80	+	3.93	1.23E-04	6.37E-03
neuron projection development (GO:0031175)	702	26	11.62	+	2.24	1.27E-04	6.54E-03
multi-multicellular organism process (GO:0044706)	200	12	3.31	+	3.62	1.33E-04	6.80E-03
positive regulation of vascular endothelial growth factor production (GO:0010575)	31	5	.51	+	9.74	1.44E-04	7.35E-03
negative regulation of hemopoiesis (GO:1903707)	117	9	1.94	+	4.65	1.45E-04	7.37E-03
neuroinflammatory response (GO:0150076)	49	6	.81	+	7.39	1.51E-04	7.49E-03
adherens junction maintenance (GO:0034334)	7	3	.12	+	25.88	1.50E-04	7.49E-03
response to hormone (GO:0009725)	785	28	13.00	+	2.15	1.48E-04	7.51E-03
epidermal growth factor receptor signaling pathway (GO:0007173)	49	6	.81	+	7.39	1.51E-04	7.52E-03
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	7	3	.12	+	25.88	1.50E-04	7.52E-03
endothelial cell development (GO:0001885)	49	6	.81	+	7.39	1.51E-04	7.54E-03
autocrine signaling (GO:0035425)	7	3	.12	+	25.88	1.50E-04	7.54E-03
astrocyte cell migration (GO:0043615)	7	3	.12	+	25.88	1.50E-04	7.57E-03
regulation of protein phosphorylation (GO:0001932)	913	31	15.12	+	2.05	1.57E-04	7.74E-03
positive regulation of epithelial cell proliferation (GO:0050679)	204	12	3.38	+	3.55	1.60E-04	7.87E-03
positive regulation of chemotaxis (GO:0050921)	146	10	2.42	+	4.14	1.64E-04	8.06E-03
cranial nerve morphogenesis (GO:0021602)	32	5	.53	+	9.44	1.69E-04	8.21E-03
salivary gland development (GO:0007431)	32	5	.53	+	9.44	1.69E-04	8.24E-03
negative regulation of developmental process (GO:0051093)	919	31	15.22	+	2.04	1.71E-04	8.31E-03
neuron development (GO:0048666)	869	30	14.39	+	2.08	1.76E-04	8.50E-03
positive regulation of kinase activity (GO:0033674)	304	15	5.03	+	2.98	1.80E-04	8.68E-03
response to reactive oxygen species (GO:0000302)	177	11	2.93	+	3.75	1.85E-04	8.91E-03
regulation of biological quality (GO:0065008)	2849	72	47.18	+	1.53	1.90E-04	9.11E-03
cell-cell signaling (GO:0007267)	1086	35	17.98	+	1.95	1.92E-04	9.16E-03
positive regulation of transferase activity (GO:0051347)	376	17	6.23	+	2.73	1.94E-04	9.23E-03
regulation of axon extension (GO:0030516)	96	8	1.59	+	5.03	1.95E-04	9.25E-03
blood vessel endothelial cell migration (GO:0043534)	33	5	.55	+	9.15	1.96E-04	9.28E-03
regulation of transferase activity (GO:0051338)	640	24	10.60	+	2.26	2.03E-04	9.56E-03
generation of neurons (GO:0048699)	1171	37	19.39	+	1.91	2.03E-04	9.56E-03
vasculogenesis (GO:0001570)	73	7	1.21	+	5.79	2.05E-04	9.61E-03
positive regulation of cell development (GO:0010720)	453	19	7.50	+	2.53	2.17E-04	1.01E-02
establishment of localization (GO:0051234)	3931	93	65.10	+	1.43	2.16E-04	1.01E-02
positive regulation of epithelial cell migration (GO:0010634)	151	10	2.50	+	4.00	2.17E-04	1.01E-02
response to toxic substance (GO:0009636)	243	13	4.02	+	3.23	2.21E-04	1.02E-02
T cell migration (GO:0072678)	34	5	.56	+	8.88	2.27E-04	1.04E-02
regulation of vascular endothelial growth factor production (GO:0010574)	34	5	.56	+	8.88	2.27E-04	1.05E-02
RNA metabolic process (GO:0016070)	1530	9	25.34	-	.36	2.28E-04	1.05E-02
blood circulation (GO:0008015)	418	18	6.92	+	2.60	2.30E-04	1.05E-02
epidermis development (GO:0008544)	346	16	5.73	+	2.79	2.31E-04	1.05E-02
T cell extravasation (GO:0072683)	8	3	.13	+	22.65	2.37E-04	1.07E-02
regulation of Cdc42 protein signal transduction (GO:0032489)	8	3	.13	+	22.65	2.37E-04	1.07E-02
protein localization to cell-cell junction (GO:0150105)	19	4	.31	+	12.71	2.35E-04	1.07E-02
ERBB4 signaling pathway (GO:0038130)	8	3	.13	+	22.65	2.37E-04	1.07E-02
regulation of natural killer cell chemotaxis (GO:2000501)	8	3	.13	+	22.65	2.37E-04	1.08E-02
phospholipid transport (GO:0015914)	99	8	1.64	+	4.88	2.41E-04	1.08E-02
response to abiotic stimulus (GO:0009628)	1112	35	18.41	+	1.90	2.51E-04	1.12E-02
regulation of biological process (GO:0050789)	11722	227	194.11	+	1.17	2.66E-04	1.18E-02
myeloid leukocyte activation (GO:0002274)	155	10	2.57	+	3.90	2.68E-04	1.19E-02
sequestering of zinc ion (GO:0032119)	2	2	.03	+	60.39	2.73E-04	1.20E-02
neutrophil aggregation (GO:0070488)	2	2	.03	+	60.39	2.73E-04	1.20E-02
cell-substrate adhesion (GO:0031589)	185	11	3.06	+	3.59	2.72E-04	1.20E-02
regulation of leukocyte activation (GO:0002694)	566	22	9.37	+	2.35	2.75E-04	1.21E-02
VEGF-activated neuropilin signaling pathway (GO:0038190)	2	2	.03	+	60.39	2.73E-04	1.21E-02
cell projection morphogenesis (GO:0048858)	501	20	8.30	+	2.41	2.84E-04	1.24E-02
regulation of integrin-mediated signaling pathway (GO:2001044)	20	4	.33	+	12.08	2.90E-04	1.26E-02
negative regulation of signal transduction (GO:0009968)	1301	39	21.54	+	1.81	2.98E-04	1.29E-02
macromolecule localization (GO:0033036)	2385	62	39.50	+	1.57	3.09E-04	1.34E-02
tight junction assembly (GO:0120192)	56	6	.93	+	6.47	3.19E-04	1.38E-02
negative regulation of protein metabolic process (GO:0051248)	810	28	13.41	+	2.09	3.27E-04	1.41E-02
positive regulation of phosphorylation (GO:0042327)	622	23	10.30	+	2.23	3.30E-04	1.42E-02
lymphocyte migration (GO:0072676)	79	7	1.31	+	5.35	3.35E-04	1.43E-02
epithelial cell migration (GO:0010631)	104	8	1.72	+	4.65	3.38E-04	1.44E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	104	8	1.72	+	4.65	3.38E-04	1.44E-02
response to inorganic substance (GO:0010035)	528	21	8.74	+	2.40	3.43E-04	1.46E-02
endothelial cell chemotaxis (GO:0035767)	9	3	.15	+	20.13	3.51E-04	1.47E-02
protein localization to membrane (GO:0072657)	471	19	7.80	+	2.44	3.52E-04	1.47E-02
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	21	4	.35	+	11.50	3.54E-04	1.47E-02
regulation of blood-brain barrier permeability (GO:1905603)	9	3	.15	+	20.13	3.51E-04	1.47E-02
cell morphogenesis (GO:0000902)	696	25	11.53	+	2.17	3.56E-04	1.48E-02
antibody-dependent cellular cytotoxicity (GO:0001788)	9	3	.15	+	20.13	3.51E-04	1.48E-02
type IIa hypersensitivity (GO:0001794)	9	3	.15	+	20.13	3.51E-04	1.48E-02
type II hypersensitivity (GO:0002445)	9	3	.15	+	20.13	3.51E-04	1.49E-02
biological regulation (GO:0065007)	12141	233	201.05	+	1.16	3.69E-04	1.53E-02
negative regulation of proteolysis (GO:0045861)	224	12	3.71	+	3.24	3.78E-04	1.55E-02
tissue homeostasis (GO:0001894)	224	12	3.71	+	3.24	3.78E-04	1.56E-02
anatomical structure homeostasis (GO:0060249)	224	12	3.71	+	3.24	3.78E-04	1.56E-02
positive regulation of gene expression (GO:0010628)	1181	36	19.56	+	1.84	3.81E-04	1.56E-02
positive regulation of axon extension (GO:0045773)	38	5	.63	+	7.95	3.87E-04	1.58E-02
positive regulation of protein localization to membrane (GO:1905477)	107	8	1.77	+	4.51	4.10E-04	1.65E-02
epithelium migration (GO:0090132)	107	8	1.77	+	4.51	4.10E-04	1.65E-02
response to hypoxia (GO:0001666)	293	14	4.85	+	2.89	4.06E-04	1.65E-02
positive regulation of cell junction assembly (GO:1901890)	107	8	1.77	+	4.51	4.10E-04	1.66E-02
negative regulation of cell-cell adhesion (GO:0022408)	194	11	3.21	+	3.42	4.08E-04	1.66E-02
regulation of muscle system process (GO:0090257)	226	12	3.74	+	3.21	4.09E-04	1.66E-02
macrophage migration (GO:1905517)	22	4	.36	+	10.98	4.27E-04	1.69E-02
regulation of bicellular tight junction assembly (GO:2000810)	22	4	.36	+	10.98	4.27E-04	1.70E-02
apical junction assembly (GO:0043297)	59	6	.98	+	6.14	4.25E-04	1.70E-02
cellular component organization or biogenesis (GO:0071840)	5852	127	96.91	+	1.31	4.27E-04	1.70E-02
tight junction organization (GO:0120193)	59	6	.98	+	6.14	4.25E-04	1.70E-02
lung epithelium development (GO:0060428)	39	5	.65	+	7.74	4.38E-04	1.74E-02
morphogenesis of a branching epithelium (GO:0061138)	166	10	2.75	+	3.64	4.62E-04	1.82E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	491	0	8.13	-	 < 0.01	4.67E-04	1.84E-02
endothelial cell differentiation (GO:0045446)	84	7	1.39	+	5.03	4.88E-04	1.92E-02
lung secretory cell differentiation (GO:0061140)	10	3	.17	+	18.12	4.95E-04	1.94E-02
cell-matrix adhesion (GO:0007160)	138	9	2.29	+	3.94	4.97E-04	1.94E-02
bleb assembly (GO:0032060)	10	3	.17	+	18.12	4.95E-04	1.94E-02
plasma membrane bounded cell projection organization (GO:0120036)	1156	35	19.14	+	1.83	5.25E-04	2.04E-02
nucleobase-containing compound metabolic process (GO:0006139)	2743	25	45.42	-	.55	5.30E-04	2.05E-02
neuron differentiation (GO:0030182)	1095	34	18.13	+	1.88	5.40E-04	2.09E-02
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	62	6	1.03	+	5.84	5.56E-04	2.13E-02
positive regulation of defense response (GO:0031349)	412	17	6.82	+	2.49	5.54E-04	2.13E-02
negative regulation of locomotion (GO:0040013)	338	15	5.60	+	2.68	5.53E-04	2.13E-02
macrophage activation (GO:0042116)	62	6	1.03	+	5.84	5.56E-04	2.13E-02
negative regulation of cell motility (GO:2000146)	303	14	5.02	+	2.79	5.66E-04	2.16E-02
mononuclear cell migration (GO:0071674)	113	8	1.87	+	4.28	5.90E-04	2.25E-02
positive regulation of wound healing (GO:0090303)	63	6	1.04	+	5.75	6.06E-04	2.30E-02
positive regulation of protein localization to plasma membrane (GO:1903078)	63	6	1.04	+	5.75	6.06E-04	2.30E-02
tissue migration (GO:0090130)	114	8	1.89	+	4.24	6.26E-04	2.37E-02
cell projection organization (GO:0030030)	1205	36	19.95	+	1.80	6.36E-04	2.40E-02
response to decreased oxygen levels (GO:0036293)	307	14	5.08	+	2.75	6.44E-04	2.42E-02
positive regulation of nucleocytoplasmic transport (GO:0046824)	64	6	1.06	+	5.66	6.60E-04	2.48E-02
vascular process in circulatory system (GO:0003018)	273	13	4.52	+	2.88	6.69E-04	2.50E-02
cell activation involved in immune response (GO:0002263)	206	11	3.41	+	3.22	6.74E-04	2.51E-02
leukocyte aggregation (GO:0070486)	11	3	.18	+	16.47	6.73E-04	2.51E-02
negative regulation of cell communication (GO:0010648)	1397	40	23.13	+	1.73	6.86E-04	2.55E-02
embryo implantation (GO:0007566)	43	5	.71	+	7.02	6.95E-04	2.56E-02
sensory perception of smell (GO:0007608)	469	0	7.77	-	 < 0.01	6.97E-04	2.56E-02
negative regulation of signaling (GO:0023057)	1398	40	23.15	+	1.73	6.91E-04	2.56E-02
cell communication involved in cardiac conduction (GO:0086065)	43	5	.71	+	7.02	6.95E-04	2.56E-02
monocyte chemotaxis (GO:0002548)	43	5	.71	+	7.02	6.95E-04	2.57E-02
regulation of nucleocytoplasmic transport (GO:0046822)	116	8	1.92	+	4.16	7.02E-04	2.57E-02
eosinophil chemotaxis (GO:0048245)	25	4	.41	+	9.66	7.10E-04	2.59E-02
protein hydroxylation (GO:0018126)	25	4	.41	+	9.66	7.10E-04	2.59E-02
cranial nerve development (GO:0021545)	65	6	1.08	+	5.57	7.17E-04	2.61E-02
regulation of Rho protein signal transduction (GO:0035023)	90	7	1.49	+	4.70	7.40E-04	2.69E-02
keratinocyte differentiation (GO:0030216)	146	9	2.42	+	3.72	7.47E-04	2.71E-02
negative regulation of cell activation (GO:0050866)	209	11	3.46	+	3.18	7.60E-04	2.74E-02
morphogenesis of a branching structure (GO:0001763)	177	10	2.93	+	3.41	7.61E-04	2.74E-02
leukocyte mediated cytotoxicity (GO:0001909)	66	6	1.09	+	5.49	7.78E-04	2.80E-02
lipid transport (GO:0006869)	350	15	5.80	+	2.59	7.90E-04	2.83E-02
regulation of cell-cell adhesion (GO:0022407)	487	19	8.06	+	2.36	7.97E-04	2.85E-02
Purkinje myocyte development (GO:0003165)	3	2	.05	+	40.26	8.11E-04	2.88E-02
very-low-density lipoprotein particle clearance (GO:0034447)	3	2	.05	+	40.26	8.11E-04	2.88E-02
regulation of cellular localization (GO:0060341)	999	31	16.54	+	1.87	8.09E-04	2.89E-02
urokinase plasminogen activator signaling pathway (GO:0038195)	3	2	.05	+	40.26	8.11E-04	2.89E-02
negative regulation of endopeptidase activity (GO:0010951)	119	8	1.97	+	4.06	8.31E-04	2.89E-02
eosinophil migration (GO:0072677)	26	4	.43	+	9.29	8.28E-04	2.90E-02
cellular response to tumor necrosis factor (GO:0071356)	179	10	2.96	+	3.37	8.30E-04	2.90E-02
neuron projection morphogenesis (GO:0048812)	491	19	8.13	+	2.34	8.34E-04	2.90E-02
regulation of cytokine production (GO:0001817)	783	26	12.97	+	2.01	8.19E-04	2.90E-02
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	211	11	3.49	+	3.15	8.21E-04	2.90E-02
regulation of response to stress (GO:0080134)	1356	39	22.46	+	1.74	8.37E-04	2.90E-02
positive regulation of cholesterol efflux (GO:0010875)	26	4	.43	+	9.29	8.28E-04	2.90E-02
lung cell differentiation (GO:0060479)	26	4	.43	+	9.29	8.28E-04	2.91E-02
regulation of membrane permeability (GO:0090559)	67	6	1.11	+	5.41	8.42E-04	2.91E-02
lung epithelial cell differentiation (GO:0060487)	26	4	.43	+	9.29	8.28E-04	2.92E-02
semaphorin-plexin signaling pathway (GO:0071526)	45	5	.75	+	6.71	8.58E-04	2.96E-02
positive regulation of cytokine production (GO:0001819)	494	19	8.18	+	2.32	8.66E-04	2.98E-02
positive regulation of protein localization (GO:1903829)	495	19	8.20	+	2.32	8.77E-04	3.01E-02
regulation of lipoprotein lipase activity (GO:0051004)	12	3	.20	+	15.10	8.86E-04	3.02E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	496	19	8.21	+	2.31	8.89E-04	3.02E-02
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	12	3	.20	+	15.10	8.86E-04	3.02E-02
positive regulation of integrin-mediated signaling pathway (GO:2001046)	12	3	.20	+	15.10	8.86E-04	3.03E-02
hypersensitivity (GO:0002524)	12	3	.20	+	15.10	8.86E-04	3.04E-02
regulation of system process (GO:0044057)	544	20	9.01	+	2.22	8.99E-04	3.05E-02
animal organ regeneration (GO:0031100)	68	6	1.13	+	5.33	9.11E-04	3.08E-02
peptide cross-linking (GO:0018149)	27	4	.45	+	8.95	9.60E-04	3.19E-02
multicellular organismal-level homeostasis (GO:0048871)	611	22	10.12	+	2.17	9.53E-04	3.19E-02
actin cytoskeleton organization (GO:0030036)	547	20	9.06	+	2.21	9.50E-04	3.20E-02
positive regulation of granulocyte chemotaxis (GO:0071624)	27	4	.45	+	8.95	9.60E-04	3.20E-02
leukocyte activation (GO:0045321)	611	22	10.12	+	2.17	9.53E-04	3.20E-02
placenta development (GO:0001890)	151	9	2.50	+	3.60	9.50E-04	3.20E-02
positive regulation of acute inflammatory response (GO:0002675)	27	4	.45	+	8.95	9.60E-04	3.21E-02
negative regulation of nitrogen compound metabolic process (GO:0051172)	2188	56	36.23	+	1.55	9.72E-04	3.23E-02
tissue regeneration (GO:0042246)	69	6	1.14	+	5.25	9.84E-04	3.25E-02
cellular nitrogen compound metabolic process (GO:0034641)	3288	33	54.45	-	.61	9.87E-04	3.26E-02
regulation of ERBB signaling pathway (GO:1901184)	69	6	1.14	+	5.25	9.84E-04	3.26E-02
negative regulation of immune system process (GO:0002683)	504	19	8.35	+	2.28	9.99E-04	3.29E-02
actin filament-based process (GO:0030029)	617	22	10.22	+	2.15	1.00E-03	3.29E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	0	7.34	-	 < 0.01	1.03E-03	3.36E-02
response to ketone (GO:1901654)	217	11	3.59	+	3.06	1.03E-03	3.37E-02
regulation of blood circulation (GO:1903522)	251	12	4.16	+	2.89	1.03E-03	3.37E-02
cellular aromatic compound metabolic process (GO:0006725)	2971	29	49.20	-	.59	1.06E-03	3.45E-02
regulation of protein localization to membrane (GO:1905475)	185	10	3.06	+	3.26	1.07E-03	3.47E-02
cellular response to toxic substance (GO:0097237)	124	8	2.05	+	3.90	1.09E-03	3.52E-02
negative regulation of cell migration (GO:0030336)	288	13	4.77	+	2.73	1.09E-03	3.53E-02
nitric oxide metabolic process (GO:0046209)	28	4	.46	+	8.63	1.10E-03	3.55E-02
regulation of membrane protein ectodomain proteolysis (GO:0051043)	28	4	.46	+	8.63	1.10E-03	3.56E-02
chemical homeostasis (GO:0048878)	889	28	14.72	+	1.90	1.10E-03	3.56E-02
regulation of protein localization (GO:0032880)	891	28	14.75	+	1.90	1.13E-03	3.62E-02
negative regulation of lipase activity (GO:0060192)	13	3	.22	+	13.94	1.14E-03	3.64E-02
phospholipid efflux (GO:0033700)	13	3	.22	+	13.94	1.14E-03	3.64E-02
positive regulation of phagocytosis (GO:0050766)	71	6	1.18	+	5.10	1.14E-03	3.65E-02
glial cell migration (GO:0008347)	48	5	.79	+	6.29	1.15E-03	3.67E-02
negative regulation of leukocyte activation (GO:0002695)	187	10	3.10	+	3.23	1.16E-03	3.67E-02
positive regulation of intracellular protein transport (GO:0090316)	97	7	1.61	+	4.36	1.15E-03	3.67E-02
localization within membrane (GO:0051668)	558	20	9.24	+	2.16	1.17E-03	3.69E-02
response to hydrogen peroxide (GO:0042542)	98	7	1.62	+	4.31	1.22E-03	3.85E-02
cellular response to interleukin-1 (GO:0071347)	98	7	1.62	+	4.31	1.22E-03	3.86E-02
nerve development (GO:0021675)	98	7	1.62	+	4.31	1.22E-03	3.86E-02
response to mechanical stimulus (GO:0009612)	222	11	3.68	+	2.99	1.24E-03	3.89E-02
positive regulation of protein kinase activity (GO:0045860)	257	12	4.26	+	2.82	1.26E-03	3.95E-02
cytokine production (GO:0001816)	29	4	.48	+	8.33	1.27E-03	3.95E-02
detection of stimulus involved in sensory perception (GO:0050906)	566	1	9.37	-	.11	1.27E-03	3.97E-02
striated muscle cell differentiation (GO:0051146)	223	11	3.69	+	2.98	1.29E-03	4.00E-02
negative regulation of cell population proliferation (GO:0008285)	710	24	11.76	+	2.04	1.33E-03	4.12E-02
positive regulation of metabolic process (GO:0009893)	3719	85	61.59	+	1.38	1.36E-03	4.21E-02
positive regulation of neuron projection development (GO:0010976)	159	9	2.63	+	3.42	1.36E-03	4.22E-02
integrin-mediated signaling pathway (GO:0007229)	100	7	1.66	+	4.23	1.38E-03	4.25E-02
lymphocyte chemotaxis (GO:0048247)	50	5	.83	+	6.04	1.39E-03	4.27E-02
bicellular tight junction assembly (GO:0070830)	50	5	.83	+	6.04	1.39E-03	4.27E-02
regulation of granulocyte chemotaxis (GO:0071622)	50	5	.83	+	6.04	1.39E-03	4.28E-02
bundle of His cell to Purkinje myocyte communication (GO:0086069)	14	3	.23	+	12.94	1.43E-03	4.36E-02
response to nutrient (GO:0007584)	160	9	2.65	+	3.40	1.43E-03	4.36E-02
response to peptidoglycan (GO:0032494)	14	3	.23	+	12.94	1.43E-03	4.37E-02
neuron projection regeneration (GO:0031102)	30	4	.50	+	8.05	1.44E-03	4.38E-02
reactive nitrogen species metabolic process (GO:2001057)	30	4	.50	+	8.05	1.44E-03	4.38E-02
endothelium development (GO:0003158)	101	7	1.67	+	4.19	1.46E-03	4.42E-02
response to oxygen levels (GO:0070482)	335	14	5.55	+	2.52	1.48E-03	4.48E-02
regulation of chemotaxis (GO:0050920)	227	11	3.76	+	2.93	1.48E-03	4.48E-02
positive regulation of protein localization to cell periphery (GO:1904377)	75	6	1.24	+	4.83	1.52E-03	4.57E-02
ncRNA processing (GO:0034470)	418	0	6.92	-	 < 0.01	1.52E-03	4.57E-02
regulation of cardiac muscle contraction (GO:0055117)	75	6	1.24	+	4.83	1.52E-03	4.58E-02
neuron projection guidance (GO:0097485)	228	11	3.78	+	2.91	1.54E-03	4.59E-02
axon guidance (GO:0007411)	228	11	3.78	+	2.91	1.54E-03	4.60E-02
negative regulation of neuron apoptotic process (GO:0043524)	162	9	2.68	+	3.35	1.55E-03	4.62E-02
negative regulation of lymphocyte activation (GO:0051250)	162	9	2.68	+	3.35	1.55E-03	4.63E-02
dichotomous subdivision of terminal units involved in salivary gland branching (GO:0060666)	4	2	.07	+	30.19	1.60E-03	4.70E-02
trigeminal ganglion development (GO:0061551)	4	2	.07	+	30.19	1.60E-03	4.71E-02
positive regulation of NMDA glutamate receptor activity (GO:1904783)	4	2	.07	+	30.19	1.60E-03	4.72E-02
desmosome assembly (GO:0002159)	4	2	.07	+	30.19	1.60E-03	4.73E-02
neuropilin signaling pathway (GO:0038189)	4	2	.07	+	30.19	1.60E-03	4.74E-02
negative regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000587)	4	2	.07	+	30.19	1.60E-03	4.75E-02
endothelial cell-cell adhesion (GO:0071603)	4	2	.07	+	30.19	1.60E-03	4.76E-02
club cell differentiation (GO:0060486)	4	2	.07	+	30.19	1.60E-03	4.77E-02
negative regulation of ERBB signaling pathway (GO:1901185)	31	4	.51	+	7.79	1.63E-03	4.78E-02
regulation of cell size (GO:0008361)	196	10	3.25	+	3.08	1.65E-03	4.81E-02
membrane invagination (GO:0010324)	52	5	.86	+	5.81	1.66E-03	4.84E-02
inorganic ion homeostasis (GO:0098771)	436	17	7.22	+	2.35	1.67E-03	4.86E-02
negative regulation of protein kinase activity (GO:0006469)	164	9	2.72	+	3.31	1.69E-03	4.91E-02
